Current (Ampere),score,cluster
48,0.6224921892428495,0
50,0.741617270680311,0
46,0.503367107805388,0
44,0.3842420263679265,0
50,0.741617270680311,0
56,1.0989925149926956,0
46,0.503367107805388,0
44,0.3842420263679265,0
52,0.8607423521177725,0
43,0.3246794856491957,0
48,0.6224921892428495,0
46,0.503367107805388,0
48,0.6224921892428495,0
48,0.6224921892428495,0
44,0.3842420263679265,0
48,0.6224921892428495,0
46,0.503367107805388,0
65,1.6350553814612725,0
56,1.0989925149926956,0
48,0.6224921892428495,0
50,0.741617270680311,0
42,0.26511694493046495,0
44,0.3842420263679265,0
52,0.8607423521177725,0
50,0.741617270680311,0
42,0.26511694493046495,0
43,0.3246794856491957,0
42,0.26511694493046495,0
44,0.3842420263679265,0
48,0.6224921892428495,0
48,0.6224921892428495,0
42,0.26511694493046495,0
43,0.3246794856491957,0
50,0.741617270680311,0
56,1.0989925149926956,0
44,0.3842420263679265,0
43,0.3246794856491957,0
48,0.6224921892428495,0
44,0.3842420263679265,0
48,0.6224921892428495,0
46,0.503367107805388,0
50,0.741617270680311,0
43,0.3246794856491957,0
56,1.0989925149926956,0
50,0.741617270680311,0
50,0.741617270680311,0
52,0.8607423521177725,0
43,0.3246794856491957,0
52,0.8607423521177725,0
64,1.5754928407425417,0
46,0.503367107805388,0
48,0.6224921892428495,0
52,0.8607423521177725,0
50,0.741617270680311,0
48,0.6224921892428495,0
46,0.503367107805388,0
64,1.5754928407425417,0
56,1.0989925149926956,0
50,0.741617270680311,0
42,0.26511694493046495,0
44,0.3842420263679265,0
42,0.26511694493046495,0
56,1.0989925149926956,0
48,0.6224921892428495,0
44,0.3842420263679265,0
64,1.5754928407425417,0
44,0.3842420263679265,0
46,0.503367107805388,0
50,0.741617270680311,0
48,0.6224921892428495,0
50,0.741617270680311,0
46,0.503367107805388,0
48,0.6224921892428495,0
42,0.26511694493046495,0
42,0.26511694493046495,0
50,0.741617270680311,0
52,0.8607423521177725,0
50,0.741617270680311,0
46,0.503367107805388,0
52,0.8607423521177725,0
48,0.6224921892428495,0
52,0.8607423521177725,0
50,0.741617270680311,0
46,0.503367107805388,0
42,0.26511694493046495,0
48,0.6224921892428495,0
48,0.6224921892428495,0
50,0.741617270680311,0
50,0.741617270680311,0
44,0.3842420263679265,0
52,0.8607423521177725,0
43,0.3246794856491957,0
44,0.3842420263679265,0
44,0.3842420263679265,0
46,0.503367107805388,0
44,0.3842420263679265,0
50,0.741617270680311,0
44,0.3842420263679265,0
43,0.3246794856491957,0
44,0.3842420263679265,0
44,0.3842420263679265,0
44,0.3842420263679265,0
50,0.741617270680311,0
50,0.741617270680311,0
48,0.6224921892428495,0
50,0.741617270680311,0
56,1.0989925149926956,0
50,0.741617270680311,0
43,0.3246794856491957,0
42,0.26511694493046495,0
44,0.3842420263679265,0
48,0.6224921892428495,0
44,0.3842420263679265,0
43,0.3246794856491957,0
44,0.3842420263679265,0
44,0.3842420263679265,0
52,0.8607423521177725,0
50,0.741617270680311,0
50,0.741617270680311,0
48,0.6224921892428495,0
48,0.6224921892428495,0
56,1.0989925149926956,0
43,0.3246794856491957,0
45,0.4438045670866572,0
43,0.3246794856491957,0
48,0.6224921892428495,0
45,0.4438045670866572,0
35,0.1518208401006504,0
38,0.026866782055541903,0
30,0.4496335436943042,0
35,0.1518208401006504,0
38,0.026866782055541903,0
43,0.3246794856491957,0
40,0.14599186349300342,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
45,0.4438045670866572,0
38,0.026866782055541903,0
48,0.6224921892428495,0
33,0.2709459215381119,0
35,0.1518208401006504,0
30,0.4496335436943042,0
35,0.1518208401006504,0
38,0.026866782055541903,0
45,0.4438045670866572,0
43,0.3246794856491957,0
45,0.4438045670866572,0
48,0.6224921892428495,0
40,0.14599186349300342,0
45,0.4438045670866572,0
48,0.6224921892428495,0
43,0.3246794856491957,0
35,0.1518208401006504,0
38,0.026866782055541903,0
40,0.14599186349300342,0
43,0.3246794856491957,0
40,0.14599186349300342,0
48,0.6224921892428495,0
33,0.2709459215381119,0
43,0.3246794856491957,0
38,0.026866782055541903,0
40,0.14599186349300342,0
38,0.026866782055541903,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
33,0.2709459215381119,0
30,0.4496335436943042,0
40,0.14599186349300342,0
30,0.4496335436943042,0
43,0.3246794856491957,0
43,0.3246794856491957,0
30,0.4496335436943042,0
35,0.1518208401006504,0
45,0.4438045670866572,0
43,0.3246794856491957,0
43,0.3246794856491957,0
45,0.4438045670866572,0
38,0.026866782055541903,0
40,0.14599186349300342,0
45,0.4438045670866572,0
38,0.026866782055541903,0
43,0.3246794856491957,0
40,0.14599186349300342,0
45,0.4438045670866572,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
43,0.3246794856491957,0
43,0.3246794856491957,0
33,0.2709459215381119,0
43,0.3246794856491957,0
35,0.1518208401006504,0
48,0.6224921892428495,0
30,0.4496335436943042,0
35,0.1518208401006504,0
30,0.4496335436943042,0
40,0.14599186349300342,0
43,0.3246794856491957,0
35,0.1518208401006504,0
33,0.2709459215381119,0
38,0.026866782055541903,0
35,0.1518208401006504,0
48,0.6224921892428495,0
38,0.026866782055541903,0
43,0.3246794856491957,0
38,0.026866782055541903,0
35,0.1518208401006504,0
30,0.4496335436943042,0
33,0.2709459215381119,0
48,0.6224921892428495,0
45,0.4438045670866572,0
35,0.1518208401006504,0
43,0.3246794856491957,0
33,0.2709459215381119,0
38,0.026866782055541903,0
40,0.14599186349300342,0
38,0.026866782055541903,0
43,0.3246794856491957,0
38,0.026866782055541903,0
43,0.3246794856491957,0
35,0.1518208401006504,0
30,0.4496335436943042,0
40,0.14599186349300342,0
33,0.2709459215381119,0
35,0.1518208401006504,0
35,0.1518208401006504,0
45,0.4438045670866572,0
40,0.14599186349300342,0
35,0.1518208401006504,0
40,0.14599186349300342,0
45,0.4438045670866572,0
38,0.026866782055541903,0
33,0.2709459215381119,0
38,0.026866782055541903,0
43,0.3246794856491957,0
35,0.1518208401006504,0
38,0.026866782055541903,0
38,0.026866782055541903,0
38,0.026866782055541903,0
38,0.026866782055541903,0
38,0.026866782055541903,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
43,0.3246794856491957,0
50,0.741617270680311,0
56,1.0989925149926956,0
44,0.3842420263679265,0
56,1.0989925149926956,0
43,0.3246794856491957,0
43,0.3246794856491957,0
42,0.26511694493046495,0
56,1.0989925149926956,0
44,0.3842420263679265,0
48,0.6224921892428495,0
56,1.0989925149926956,0
42,0.26511694493046495,0
52,0.8607423521177725,0
48,0.6224921892428495,0
48,0.6224921892428495,0
56,1.0989925149926956,0
50,0.741617270680311,0
42,0.26511694493046495,0
48,0.6224921892428495,0
42,0.26511694493046495,0
56,1.0989925149926956,0
44,0.3842420263679265,0
50,0.741617270680311,0
50,0.741617270680311,0
44,0.3842420263679265,0
50,0.741617270680311,0
48,0.6224921892428495,0
44,0.3842420263679265,0
46,0.503367107805388,0
50,0.741617270680311,0
43,0.3246794856491957,0
44,0.3842420263679265,0
44,0.3842420263679265,0
44,0.3842420263679265,0
43,0.3246794856491957,0
52,0.8607423521177725,0
43,0.3246794856491957,0
42,0.26511694493046495,0
44,0.3842420263679265,0
50,0.741617270680311,0
42,0.26511694493046495,0
48,0.6224921892428495,0
50,0.741617270680311,0
52,0.8607423521177725,0
65,1.6350553814612725,0
44,0.3842420263679265,0
50,0.741617270680311,0
50,0.741617270680311,0
50,0.741617270680311,0
46,0.503367107805388,0
44,0.3842420263679265,0
46,0.503367107805388,0
44,0.3842420263679265,0
44,0.3842420263679265,0
46,0.503367107805388,0
44,0.3842420263679265,0
43,0.3246794856491957,0
48,0.6224921892428495,0
42,0.26511694493046495,0
56,1.0989925149926956,0
46,0.503367107805388,0
44,0.3842420263679265,0
52,0.8607423521177725,0
50,0.741617270680311,0
44,0.3842420263679265,0
48,0.6224921892428495,0
48,0.6224921892428495,0
42,0.26511694493046495,0
46,0.503367107805388,0
52,0.8607423521177725,0
42,0.26511694493046495,0
50,0.741617270680311,0
50,0.741617270680311,0
50,0.741617270680311,0
44,0.3842420263679265,0
42,0.26511694493046495,0
52,0.8607423521177725,0
46,0.503367107805388,0
42,0.26511694493046495,0
42,0.26511694493046495,0
52,0.8607423521177725,0
50,0.741617270680311,0
50,0.741617270680311,0
46,0.503367107805388,0
44,0.3842420263679265,0
44,0.3842420263679265,0
42,0.26511694493046495,0
46,0.503367107805388,0
56,1.0989925149926956,0
44,0.3842420263679265,0
43,0.3246794856491957,0
46,0.503367107805388,0
48,0.6224921892428495,0
44,0.3842420263679265,0
44,0.3842420263679265,0
56,1.0989925149926956,0
50,0.741617270680311,0
48,0.6224921892428495,0
48,0.6224921892428495,0
46,0.503367107805388,0
48,0.6224921892428495,0
56,1.0989925149926956,0
52,0.8607423521177725,0
46,0.503367107805388,0
42,0.26511694493046495,0
44,0.3842420263679265,0
44,0.3842420263679265,0
46,0.503367107805388,0
48,0.6224921892428495,0
42,0.26511694493046495,0
56,1.0989925149926956,0
46,0.503367107805388,0
48,0.6224921892428495,0
44,0.3842420263679265,0
52,0.8607423521177725,0
48,0.6224921892428495,0
56,1.0989925149926956,0
52,0.8607423521177725,0
50,0.741617270680311,0
43,0.3246794856491957,0
43,0.3246794856491957,0
46,0.503367107805388,0
42,0.26511694493046495,0
50,0.741617270680311,0
46,0.503367107805388,0
50,0.741617270680311,0
64,1.5754928407425417,0
50,0.741617270680311,0
48,0.6224921892428495,0
44,0.3842420263679265,0
56,1.0989925149926956,0
46,0.503367107805388,0
52,0.8607423521177725,0
42,0.26511694493046495,0
50,0.741617270680311,0
52,0.8607423521177725,0
43,0.3246794856491957,0
50,0.741617270680311,0
50,0.741617270680311,0
44,0.3842420263679265,0
48,0.6224921892428495,0
48,0.6224921892428495,0
42,0.26511694493046495,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
35,0.1518208401006504,0
38,0.026866782055541903,0
35,0.1518208401006504,0
45,0.4438045670866572,0
30,0.4496335436943042,0
45,0.4438045670866572,0
48,0.6224921892428495,0
35,0.1518208401006504,0
43,0.3246794856491957,0
30,0.4496335436943042,0
35,0.1518208401006504,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
35,0.1518208401006504,0
48,0.6224921892428495,0
43,0.3246794856491957,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
33,0.2709459215381119,0
38,0.026866782055541903,0
35,0.1518208401006504,0
43,0.3246794856491957,0
33,0.2709459215381119,0
38,0.026866782055541903,0
33,0.2709459215381119,0
30,0.4496335436943042,0
45,0.4438045670866572,0
33,0.2709459215381119,0
35,0.1518208401006504,0
45,0.4438045670866572,0
38,0.026866782055541903,0
35,0.1518208401006504,0
35,0.1518208401006504,0
38,0.026866782055541903,0
30,0.4496335436943042,0
33,0.2709459215381119,0
30,0.4496335436943042,0
40,0.14599186349300342,0
35,0.1518208401006504,0
45,0.4438045670866572,0
35,0.1518208401006504,0
45,0.4438045670866572,0
33,0.2709459215381119,0
30,0.4496335436943042,0
38,0.026866782055541903,0
35,0.1518208401006504,0
45,0.4438045670866572,0
33,0.2709459215381119,0
43,0.3246794856491957,0
38,0.026866782055541903,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
38,0.026866782055541903,0
45,0.4438045670866572,0
33,0.2709459215381119,0
38,0.026866782055541903,0
38,0.026866782055541903,0
38,0.026866782055541903,0
38,0.026866782055541903,0
43,0.3246794856491957,0
43,0.3246794856491957,0
35,0.1518208401006504,0
38,0.026866782055541903,0
35,0.1518208401006504,0
30,0.4496335436943042,0
38,0.026866782055541903,0
30,0.4496335436943042,0
33,0.2709459215381119,0
40,0.14599186349300342,0
48,0.6224921892428495,0
35,0.1518208401006504,0
48,0.6224921892428495,0
48,0.6224921892428495,0
40,0.14599186349300342,0
35,0.1518208401006504,0
43,0.3246794856491957,0
40,0.14599186349300342,0
35,0.1518208401006504,0
40,0.14599186349300342,0
40,0.14599186349300342,0
40,0.14599186349300342,0
38,0.026866782055541903,0
43,0.3246794856491957,0
43,0.3246794856491957,0
35,0.1518208401006504,0
38,0.026866782055541903,0
33,0.2709459215381119,0
40,0.14599186349300342,0
48,0.6224921892428495,0
40,0.14599186349300342,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
35,0.1518208401006504,0
45,0.4438045670866572,0
35,0.1518208401006504,0
38,0.026866782055541903,0
35,0.1518208401006504,0
35,0.1518208401006504,0
35,0.1518208401006504,0
45,0.4438045670866572,0
48,0.6224921892428495,0
43,0.3246794856491957,0
35,0.1518208401006504,0
48,0.6224921892428495,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
38,0.026866782055541903,0
38,0.026866782055541903,0
38,0.026866782055541903,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
50,0.741617270680311,0
43,0.3246794856491957,0
52,0.8607423521177725,0
46,0.503367107805388,0
44,0.3842420263679265,0
44,0.3842420263679265,0
46,0.503367107805388,0
43,0.3246794856491957,0
52,0.8607423521177725,0
46,0.503367107805388,0
48,0.6224921892428495,0
46,0.503367107805388,0
56,1.0989925149926956,0
48,0.6224921892428495,0
50,0.741617270680311,0
46,0.503367107805388,0
43,0.3246794856491957,0
52,0.8607423521177725,0
50,0.741617270680311,0
46,0.503367107805388,0
56,1.0989925149926956,0
52,0.8607423521177725,0
52,0.8607423521177725,0
64,1.5754928407425417,0
50,0.741617270680311,0
43,0.3246794856491957,0
43,0.3246794856491957,0
52,0.8607423521177725,0
50,0.741617270680311,0
44,0.3842420263679265,0
48,0.6224921892428495,0
56,1.0989925149926956,0
42,0.26511694493046495,0
48,0.6224921892428495,0
48,0.6224921892428495,0
46,0.503367107805388,0
46,0.503367107805388,0
46,0.503367107805388,0
46,0.503367107805388,0
50,0.741617270680311,0
56,1.0989925149926956,0
48,0.6224921892428495,0
44,0.3842420263679265,0
56,1.0989925149926956,0
50,0.741617270680311,0
42,0.26511694493046495,0
44,0.3842420263679265,0
50,0.741617270680311,0
44,0.3842420263679265,0
52,0.8607423521177725,0
48,0.6224921892428495,0
52,0.8607423521177725,0
43,0.3246794856491957,0
48,0.6224921892428495,0
50,0.741617270680311,0
42,0.26511694493046495,0
43,0.3246794856491957,0
44,0.3842420263679265,0
52,0.8607423521177725,0
42,0.26511694493046495,0
43,0.3246794856491957,0
48,0.6224921892428495,0
56,1.0989925149926956,0
43,0.3246794856491957,0
44,0.3842420263679265,0
50,0.741617270680311,0
65,1.6350553814612725,0
42,0.26511694493046495,0
52,0.8607423521177725,0
56,1.0989925149926956,0
43,0.3246794856491957,0
56,1.0989925149926956,0
44,0.3842420263679265,0
43,0.3246794856491957,0
48,0.6224921892428495,0
43,0.3246794856491957,0
43,0.3246794856491957,0
48,0.6224921892428495,0
46,0.503367107805388,0
50,0.741617270680311,0
50,0.741617270680311,0
44,0.3842420263679265,0
43,0.3246794856491957,0
50,0.741617270680311,0
42,0.26511694493046495,0
44,0.3842420263679265,0
44,0.3842420263679265,0
50,0.741617270680311,0
50,0.741617270680311,0
42,0.26511694493046495,0
50,0.741617270680311,0
46,0.503367107805388,0
50,0.741617270680311,0
44,0.3842420263679265,0
44,0.3842420263679265,0
46,0.503367107805388,0
44,0.3842420263679265,0
52,0.8607423521177725,0
48,0.6224921892428495,0
46,0.503367107805388,0
46,0.503367107805388,0
44,0.3842420263679265,0
44,0.3842420263679265,0
56,1.0989925149926956,0
50,0.741617270680311,0
56,1.0989925149926956,0
46,0.503367107805388,0
52,0.8607423521177725,0
52,0.8607423521177725,0
42,0.26511694493046495,0
50,0.741617270680311,0
46,0.503367107805388,0
46,0.503367107805388,0
50,0.741617270680311,0
56,1.0989925149926956,0
56,1.0989925149926956,0
44,0.3842420263679265,0
50,0.741617270680311,0
44,0.3842420263679265,0
52,0.8607423521177725,0
42,0.26511694493046495,0
52,0.8607423521177725,0
48,0.6224921892428495,0
44,0.3842420263679265,0
42,0.26511694493046495,0
52,0.8607423521177725,0
50,0.741617270680311,0
56,1.0989925149926956,0
56,1.0989925149926956,0
50,0.741617270680311,0
46,0.503367107805388,0
48,0.6224921892428495,0
52,0.8607423521177725,0
52,0.8607423521177725,0
48,0.6224921892428495,0
56,1.0989925149926956,0
52,0.8607423521177725,0
56,1.0989925149926956,0
50,0.741617270680311,0
50,0.741617270680311,0
50,0.741617270680311,0
50,0.741617270680311,0
46,0.503367107805388,0
52,0.8607423521177725,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
33,0.2709459215381119,0
40,0.14599186349300342,0
43,0.3246794856491957,0
38,0.026866782055541903,0
43,0.3246794856491957,0
43,0.3246794856491957,0
30,0.4496335436943042,0
30,0.4496335436943042,0
40,0.14599186349300342,0
35,0.1518208401006504,0
40,0.14599186349300342,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
40,0.14599186349300342,0
43,0.3246794856491957,0
48,0.6224921892428495,0
40,0.14599186349300342,0
40,0.14599186349300342,0
38,0.026866782055541903,0
45,0.4438045670866572,0
40,0.14599186349300342,0
38,0.026866782055541903,0
40,0.14599186349300342,0
40,0.14599186349300342,0
30,0.4496335436943042,0
35,0.1518208401006504,0
43,0.3246794856491957,0
35,0.1518208401006504,0
48,0.6224921892428495,0
43,0.3246794856491957,0
35,0.1518208401006504,0
45,0.4438045670866572,0
35,0.1518208401006504,0
45,0.4438045670866572,0
43,0.3246794856491957,0
30,0.4496335436943042,0
30,0.4496335436943042,0
40,0.14599186349300342,0
48,0.6224921892428495,0
43,0.3246794856491957,0
43,0.3246794856491957,0
38,0.026866782055541903,0
38,0.026866782055541903,0
35,0.1518208401006504,0
43,0.3246794856491957,0
38,0.026866782055541903,0
40,0.14599186349300342,0
38,0.026866782055541903,0
45,0.4438045670866572,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
38,0.026866782055541903,0
35,0.1518208401006504,0
35,0.1518208401006504,0
48,0.6224921892428495,0
35,0.1518208401006504,0
43,0.3246794856491957,0
45,0.4438045670866572,0
38,0.026866782055541903,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
40,0.14599186349300342,0
35,0.1518208401006504,0
48,0.6224921892428495,0
33,0.2709459215381119,0
40,0.14599186349300342,0
38,0.026866782055541903,0
35,0.1518208401006504,0
40,0.14599186349300342,0
40,0.14599186349300342,0
43,0.3246794856491957,0
40,0.14599186349300342,0
38,0.026866782055541903,0
40,0.14599186349300342,0
35,0.1518208401006504,0
38,0.026866782055541903,0
48,0.6224921892428495,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
35,0.1518208401006504,0
40,0.14599186349300342,0
38,0.026866782055541903,0
33,0.2709459215381119,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
40,0.14599186349300342,0
40,0.14599186349300342,0
35,0.1518208401006504,0
43,0.3246794856491957,0
35,0.1518208401006504,0
38,0.026866782055541903,0
40,0.14599186349300342,0
38,0.026866782055541903,0
30,0.4496335436943042,0
38,0.026866782055541903,0
45,0.4438045670866572,0
40,0.14599186349300342,0
30,0.4496335436943042,0
43,0.3246794856491957,0
35,0.1518208401006504,0
40,0.14599186349300342,0
38,0.026866782055541903,0
38,0.026866782055541903,0
42,0.26511694493046495,0
48,0.6224921892428495,0
46,0.503367107805388,0
48,0.6224921892428495,0
44,0.3842420263679265,0
44,0.3842420263679265,0
50,0.741617270680311,0
52,0.8607423521177725,0
50,0.741617270680311,0
44,0.3842420263679265,0
42,0.26511694493046495,0
50,0.741617270680311,0
48,0.6224921892428495,0
46,0.503367107805388,0
48,0.6224921892428495,0
52,0.8607423521177725,0
48,0.6224921892428495,0
52,0.8607423521177725,0
50,0.741617270680311,0
52,0.8607423521177725,0
48,0.6224921892428495,0
46,0.503367107805388,0
44,0.3842420263679265,0
48,0.6224921892428495,0
46,0.503367107805388,0
48,0.6224921892428495,0
48,0.6224921892428495,0
50,0.741617270680311,0
50,0.741617270680311,0
44,0.3842420263679265,0
44,0.3842420263679265,0
50,0.741617270680311,0
48,0.6224921892428495,0
46,0.503367107805388,0
43,0.3246794856491957,0
46,0.503367107805388,0
52,0.8607423521177725,0
46,0.503367107805388,0
43,0.3246794856491957,0
46,0.503367107805388,0
46,0.503367107805388,0
50,0.741617270680311,0
50,0.741617270680311,0
43,0.3246794856491957,0
48,0.6224921892428495,0
50,0.741617270680311,0
44,0.3842420263679265,0
50,0.741617270680311,0
46,0.503367107805388,0
46,0.503367107805388,0
48,0.6224921892428495,0
43,0.3246794856491957,0
52,0.8607423521177725,0
46,0.503367107805388,0
44,0.3842420263679265,0
44,0.3842420263679265,0
56,1.0989925149926956,0
44,0.3842420263679265,0
48,0.6224921892428495,0
44,0.3842420263679265,0
46,0.503367107805388,0
46,0.503367107805388,0
44,0.3842420263679265,0
44,0.3842420263679265,0
44,0.3842420263679265,0
56,1.0989925149926956,0
52,0.8607423521177725,0
44,0.3842420263679265,0
44,0.3842420263679265,0
50,0.741617270680311,0
52,0.8607423521177725,0
48,0.6224921892428495,0
48,0.6224921892428495,0
48,0.6224921892428495,0
43,0.3246794856491957,0
48,0.6224921892428495,0
42,0.26511694493046495,0
42,0.26511694493046495,0
48,0.6224921892428495,0
44,0.3842420263679265,0
46,0.503367107805388,0
43,0.3246794856491957,0
42,0.26511694493046495,0
43,0.3246794856491957,0
44,0.3842420263679265,0
43,0.3246794856491957,0
48,0.6224921892428495,0
52,0.8607423521177725,0
52,0.8607423521177725,0
48,0.6224921892428495,0
56,1.0989925149926956,0
48,0.6224921892428495,0
56,1.0989925149926956,0
43,0.3246794856491957,0
52,0.8607423521177725,0
50,0.741617270680311,0
44,0.3842420263679265,0
42,0.26511694493046495,0
44,0.3842420263679265,0
42,0.26511694493046495,0
46,0.503367107805388,0
48,0.6224921892428495,0
48,0.6224921892428495,0
50,0.741617270680311,0
52,0.8607423521177725,0
46,0.503367107805388,0
48,0.6224921892428495,0
42,0.26511694493046495,0
44,0.3842420263679265,0
50,0.741617270680311,0
50,0.741617270680311,0
42,0.26511694493046495,0
44,0.3842420263679265,0
48,0.6224921892428495,0
52,0.8607423521177725,0
42,0.26511694493046495,0
44,0.3842420263679265,0
44,0.3842420263679265,0
48,0.6224921892428495,0
52,0.8607423521177725,0
43,0.3246794856491957,0
50,0.741617270680311,0
44,0.3842420263679265,0
46,0.503367107805388,0
46,0.503367107805388,0
56,1.0989925149926956,0
43,0.3246794856491957,0
65,1.6350553814612725,0
56,1.0989925149926956,0
46,0.503367107805388,0
52,0.8607423521177725,0
48,0.6224921892428495,0
48,0.6224921892428495,0
50,0.741617270680311,0
43,0.3246794856491957,0
56,1.0989925149926956,0
44,0.3842420263679265,0
48,0.6224921892428495,0
50,0.741617270680311,0
52,0.8607423521177725,0
43,0.3246794856491957,0
44,0.3842420263679265,0
52,0.8607423521177725,0
50,0.741617270680311,0
45,0.4438045670866572,0
35,0.1518208401006504,0
35,0.1518208401006504,0
40,0.14599186349300342,0
30,0.4496335436943042,0
35,0.1518208401006504,0
38,0.026866782055541903,0
35,0.1518208401006504,0
45,0.4438045670866572,0
38,0.026866782055541903,0
43,0.3246794856491957,0
40,0.14599186349300342,0
43,0.3246794856491957,0
35,0.1518208401006504,0
43,0.3246794856491957,0
35,0.1518208401006504,0
30,0.4496335436943042,0
30,0.4496335436943042,0
43,0.3246794856491957,0
40,0.14599186349300342,0
38,0.026866782055541903,0
33,0.2709459215381119,0
30,0.4496335436943042,0
30,0.4496335436943042,0
40,0.14599186349300342,0
45,0.4438045670866572,0
48,0.6224921892428495,0
35,0.1518208401006504,0
43,0.3246794856491957,0
43,0.3246794856491957,0
45,0.4438045670866572,0
38,0.026866782055541903,0
45,0.4438045670866572,0
38,0.026866782055541903,0
45,0.4438045670866572,0
30,0.4496335436943042,0
40,0.14599186349300342,0
30,0.4496335436943042,0
43,0.3246794856491957,0
38,0.026866782055541903,0
33,0.2709459215381119,0
30,0.4496335436943042,0
43,0.3246794856491957,0
43,0.3246794856491957,0
38,0.026866782055541903,0
43,0.3246794856491957,0
43,0.3246794856491957,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
38,0.026866782055541903,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
38,0.026866782055541903,0
30,0.4496335436943042,0
35,0.1518208401006504,0
43,0.3246794856491957,0
43,0.3246794856491957,0
40,0.14599186349300342,0
40,0.14599186349300342,0
35,0.1518208401006504,0
45,0.4438045670866572,0
40,0.14599186349300342,0
43,0.3246794856491957,0
40,0.14599186349300342,0
38,0.026866782055541903,0
43,0.3246794856491957,0
38,0.026866782055541903,0
35,0.1518208401006504,0
38,0.026866782055541903,0
43,0.3246794856491957,0
40,0.14599186349300342,0
38,0.026866782055541903,0
30,0.4496335436943042,0
35,0.1518208401006504,0
38,0.026866782055541903,0
38,0.026866782055541903,0
35,0.1518208401006504,0
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
0,2.236509765256227,1
48,0.6224921892428495,0
35,0.1518208401006504,0
35,0.1518208401006504,0
48,0.6224921892428495,0
43,0.3246794856491957,0
38,0.026866782055541903,0
30,0.4496335436943042,0
33,0.2709459215381119,0
35,0.1518208401006504,0
45,0.4438045670866572,0
30,0.4496335436943042,0
43,0.3246794856491957,0
35,0.1518208401006504,0
43,0.3246794856491957,0
